"Facility Name","Location Type","Operator","Status","Open","Hours of Operation","Accessibility","Restroom Type","Changing Stations","Additional Notes","Website","Latitude","Longitude","Location"
"Baisley Pond Park Zone 4","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.67464","-73.7878","POINT (-73.7878 40.67464)"
"Library for Arts & Culture","Library","BPL","Operational","Year Round","Monday	10 am - 5 pm
Tuesday	10 am - 5 pm
Wednesday	10 am - 5 pm
Thursday	10 am - 5 pm
Friday	10 am - 5 pm
Saturday	10 am - 3 pm
Sunday	CLOSED",,,,,"https://www.bklynlibrary.org/locations/library-for-arts-and-culture","40.686541","-73.978502","POINT (-73.978502 40.686541)"
"North Meadow Recreation Center","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"No",,,"40.79115","-73.9596","POINT (-73.9596 40.79115)"
"Houston St Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.72244","-73.9912","POINT (-73.9912 40.72244)"
"South Beach Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.59241","-74.0636","POINT (-74.0636 40.59241)"
"Hamilton Metz Field","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.66262","-73.9407","POINT (-73.9407 40.66262)"
"Railroad Park","Park","NYC Parks","Not Operational",,,,,"""N/A, restrooms closed""",,,"40.82493","-73.9156","POINT (-73.9156 40.82493)"
"Winthrop Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.65653","-73.9548","POINT (-73.9548 40.65653)"
"Frank D. O'Connor Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.74439","-73.8869","POINT (-73.8869 40.74439)"
"67th Street Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Not Accessible","Single-Stall All Gender Restroom(s)","No",,"https://www.nypl.org/locations/67th-street","40.764923","-73.959551","POINT (-73.959551 40.764923)"
"Story Playground","Park","NYC Parks","Not Operational",,,"Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.82298","-73.8631","POINT (-73.8631 40.82298)"
"McDonald Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.60116","-73.9722","POINT (-73.9722 40.60116)"
"Rockaway Beach 04c","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Partially Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.58752","-73.7957","POINT (-73.7957 40.58752)"
"Clinton Hill Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/clinton-hill","40.687387","-73.966032","POINT (-73.966032 40.687387)"
"Jamaica LIRR Restroom","Transit","LIRR","Operational","Year Round","Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,,,"MTA station with bathrooms located outside of fare gates and open to the wider public","https://new.mta.info/agency/new-york-city-transit/bathrooms","40.699608","-73.808531","POINT (-73.808531 40.699608)"
"Luther Gulick Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.71594","-73.9816","POINT (-73.9816 40.71594)"
"Marie Curie Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.75709","-73.7715","POINT (-73.7715 40.75709)"
"New Amsterdam Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 10:00 am - 7:00 pm   
Thursday: 10:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/new-amsterdam","40.713585","-74.007871","POINT (-74.007871 40.713585)"
"Nelson Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.83503","-73.9266","POINT (-73.9266 40.83503)"
"Hippo Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.79338","-73.978","POINT (-73.978 40.79338)"
"Ridgewood Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes",,"https://www.queenslibrary.org/about-us/locations/ridgewood","40.705235","-73.90259","POINT (-73.90259 40.705235)"
"Hoyt Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,,,,"40.772016","-73.917342","POINT (-73.917342 40.772016)"
"St. Agnes Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/st-agnes","40.784843","-73.977454","POINT (-73.977454 40.784843)"
"Marcy Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/marcy","40.691631","-73.951285","POINT (-73.951285 40.691631)"
"Wayanda Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.71086","-73.739","POINT (-73.739 40.71086)"
"Roy Wilkins Rec Center Zone 2A","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68766","-73.7725","POINT (-73.7725 40.68766)"
"Queens Central Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Both Single-Stall All Gender and Multi-Stall W/M","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/central-library","40.707881","-73.794679","POINT (-73.794679 40.707881)"
"Cunningham Park Indoor Tennis","Park","NYC Parks Concessionaire","Operational","Year Round","7:00am-11:00pm (indoor season) 8:00am-7:30pm (outdoor season)","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.729396","-73.772786","POINT (-73.772786 40.729396)"
"Martin Luther King Jr. Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.66742","-73.8902","POINT (-73.8902 40.66742)"
"Alice Kornegay Triangle","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.80655","-73.9356","POINT (-73.9356 40.80655)"
"Lawrence Playground","Park","NYC Parks","Not Operational",,,"Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.74845","-73.8337","POINT (-73.8337 40.74845)"
"Park Slope Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Partially Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.67703","-73.9785","POINT (-73.9785 40.67703)"
"Bufano Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.83802","-73.831","POINT (-73.831 40.83802)"
"Terrace Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.61356","-74.0983","POINT (-74.0983 40.61356)"
"Astoria Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/astoria","40.772384","-73.928743","POINT (-73.928743 40.772384)"
"Judge Moses Weinstein Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.71869","-73.8204","POINT (-73.8204 40.71869)"
"Turtle Cove Driving Range","Park","NYC Parks Concessionaire","Operational","Year Round","7:00am - 10:00pm Daily","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.864417","-73.807479","POINT (-73.807479 40.864417)"
"Paerdegat Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.63807","-73.9381","POINT (-73.9381 40.63807)"
"Jackie Robinson Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.66587","-73.9589","POINT (-73.9589 40.66587)"
"Langston Hughes Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/langston-hughes","40.757586","-73.868201","POINT (-73.868201 40.757586)"
"Kingsbridge Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/kingsbridge","40.880708","-73.907707","POINT (-73.907707 40.880708)"
"Sobelsohn Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.70986","-73.8355","POINT (-73.8355 40.70986)"
"Carroll Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68087","-73.9948","POINT (-73.9948 40.68087)"
"Paerdegat Basin Marina 5","Park","NYC Parks Concessionaire","Operational","Year Round","9:00am-5:00pm","Partially Accessible","Multi-Stall W/M Restrooms","No",,,"40.627513","-73.905176","POINT (-73.905176 40.627513)"
"Moore Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"No",,,"40.8097","-73.9392","POINT (-73.9392 40.8097)"
"Webster Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.85952","-73.8929","POINT (-73.8929 40.85952)"
"Commodore Barry Park","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.69758","-73.9793","POINT (-73.9793 40.69758)"
"Luna Playground","Park","NYC Parks","Not Operational",,,"Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.57607","-73.9788","POINT (-73.9788 40.57607)"
"125th Street Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,"https://www.nypl.org/locations/125th-street","40.803026","-73.934849","POINT (-73.934849 40.803026)"
"Sol Lain Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.71441","-73.984","POINT (-73.984 40.71441)"
"Hunters Point Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Both Single-Stall All Gender and Multi-Stall W/M","Yes",,"https://www.queenslibrary.org/about-us/locations/hunters-point","40.745269","-73.95796","POINT (-73.95796 40.745269)"
"Fox Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"Yes",,,"40.81514","-73.8985","POINT (-73.8985 40.81514)"
"Pat Parlato Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Partially Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.57702","-73.9462","POINT (-73.9462 40.57702)"
"The High Line Zone 2","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,,,,"40.75258","-74.0021","POINT (-74.0021 40.75258)"
"Ben Abrams Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.85438","-73.8697","POINT (-73.8697 40.85438)"
"Albemarle Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.64604","-73.9805","POINT (-73.9805 40.64604)"
"Todt Hill-Westerleigh Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 10:00 am - 7:00 pm   
Thursday: 10:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No","Changing Table outside restroom","https://www.nypl.org/locations/todt-hill-westerleigh","40.60961","-74.148523","POINT (-74.148523 40.60961)"
"Phil ""Scooter"" Rizzuto Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.69467","-73.8215","POINT (-73.8215 40.69467)"
"Saul Weprin Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.74788","-73.7762","POINT (-73.7762 40.74788)"
"Bendheim Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Single -Stall All Gender Restroom(s)",,,,"40.7904","-73.9546","POINT (-73.9546 40.7904)"
"Vinmont Veteran Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in men's restroom only""",,,"40.90215","-73.9049","POINT (-73.9049 40.90215)"
"Coney Island Beach Zone 5b","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.5726","-73.9831","POINT (-73.9831 40.5726)"
"Bennett Park","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.85322","-73.9379","POINT (-73.9379 40.85322)"
"Curtis Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.64081","-73.9176","POINT (-73.9176 40.64081)"
"Dean Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68056","-73.9728","POINT (-73.9728 40.68056)"
"Astoria Heights Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.76102","-73.9113","POINT (-73.9113 40.76102)"
"Allerton Fields In Bronx Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.86953","-73.8766","POINT (-73.8766 40.86953)"
"Gerritsen Beach Library, BPL","Library","BPL","Closed for Construction","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/gerritsen-beach","40.591379","-73.923939","POINT (-73.923939 40.591379)"
"Underwood Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68857","-73.9667","POINT (-73.9667 40.68857)"
"Soundview Park Zone 4","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.81908","-73.8783","POINT (-73.8783 40.81908)"
"Little Flower Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.71258","-73.9886","POINT (-73.9886 40.71258)"
"Bill Rainey Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.81876","-73.8983","POINT (-73.8983 40.81876)"
"Beach 17 Playground","Park","NYC Parks","Operational","Year Round","12:00pm-10:00pm","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.59419","-73.7506","POINT (-73.7506 40.59419)"
"Whitestone Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/whitestone","40.788549","-73.810703","POINT (-73.810703 40.788549)"
"157 St Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68455","-73.7861","POINT (-73.7861 40.68455)"
"Monsignor Kett Playground","Park","NYC Parks","Not Operational",,"8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms",,,,"40.862642","-73.920891","POINT (-73.920891 40.862642)"
"P.S. 279 Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"No",,,"40.64459","-73.8933","POINT (-73.8933 40.64459)"
"Orchard Bch. Pavilion","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally",,,"Yes",,,"40.86627","-73.7947","POINT (-73.7947 40.86627)"
"Osborn Playground","Park","NYC Parks","Not Operational",,,"Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.65609","-73.9062","POINT (-73.9062 40.65609)"
"Bellerose Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.73286","-73.7177","POINT (-73.7177 40.73286)"
"Cedar Lane Stables, Tudor Pk.","Park","NYC Parks Concessionaire","Operational","Year Round",,,,,,,"40.670414","-73.852033","POINT (-73.852033 40.670414)"
"East Flushing Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/east-flushing","40.757554","-73.784304","POINT (-73.784304 40.757554)"
"Agnes Haywood Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in men's restroom only""",,,"40.88049","-73.8617","POINT (-73.8617 40.88049)"
"La Guardia Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.71057","-73.9598","POINT (-73.9598 40.71057)"
"Mccarren Park Indoor Tennis","Park","NYC Parks Concessionaire","Operational","Seasonal","6:00am-12:00am","Partially Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No",,,"40.721812","-73.954618","POINT (-73.954618 40.721812)"
"Jefferson Market Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 8:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/jefferson-market","40.734643","-73.999171","POINT (-73.999171 40.734643)"
"Ten Mile River Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.82982","-73.9527","POINT (-73.9527 40.82982)"
"Raymond Bush Playground","Park","NYC Parks","Not Operational",,,"Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.6866","-73.9394","POINT (-73.9394 40.6866)"
"Carl Schurz Promenade","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.77571","-73.9439","POINT (-73.9439 40.77571)"
"Travers Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.75437","-73.8895","POINT (-73.8895 40.75437)"
"Clark Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.81397","-73.9212","POINT (-73.9212 40.81397)"
"Moynihan Connector","Park","Friends of the High Line","Operational","Year Round",,,,,,,"40.752417","-73.99929","POINT (-73.99929 40.752417)"
"Fdr Brdwalk/South Beach Rest.","Park","NYC Parks Concessionaire","Operational","Year Round","6:00am-11:00pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in women's restroom only""",,,"40.589199","-74.066463","POINT (-74.066463 40.589199)"
"Madison Square Park APT","Public Plaza","NYC DOT/JCDecaux","Operational","Year Round","8am-8pm","Fully Accessible","Single-Stall All Gender Restroom(s)","No","This unit costs $.25 to use.","https://portal.311.nyc.gov/article/?kanumber=KA-02226","40.741309","-73.987845","POINT (-73.987845 40.741309)"
"Mill Pond Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,,,,"40.82046","-73.9317","POINT (-73.9317 40.82046)"
"Downing Street Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.73002","-74.0029","POINT (-74.0029 40.73002)"
"DeKalb Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Partially Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,"https://www.bklynlibrary.org/locations/dekalb","40.694825","-73.9284","POINT (-73.9284 40.694825)"
"Forest Hills Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/forest-hills","40.722155","-73.843016","POINT (-73.843016 40.722155)"
"Williamsburgh Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/williamsburgh","40.706939","-73.957556","POINT (-73.957556 40.706939)"
"Van Cortlandt Golf Course","Park","NYC Parks Concessionaire","Operational","Year Round","6:00am-8:00pm Daily","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.896614","-73.887601","POINT (-73.887601 40.896614)"
"Harlem Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","No",,"https://www.nypl.org/locations/harlem","40.806169","-73.943317","POINT (-73.943317 40.806169)"
"Penn Station LIRR Restroom","Transit","LIRR","Operational","Year Round","Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,,,"MTA station with bathrooms located outside of fare gates and open to the wider public","https://new.mta.info/agency/new-york-city-transit/bathrooms","40.750588","-73.993581","POINT (-73.993581 40.750588)"
"Locust Point Marina","Park","NYC Parks Concessionaire","Operational","Year Round","9:00am-5:00pm","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.816569","-73.806112","POINT (-73.806112 40.816569)"
"Arthur Kill Amusement Park","Park","NYC Parks Concessionaire","Operational","Seasonal","Tues-Sun 12pm-10pm","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.561486","-74.169255","POINT (-74.169255 40.561486)"
